year,type,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station
2013,Giant Pumpkin,2032.0,2000.0,475.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1985.0,1809.0,453.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1894.0,1745.0,445.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1874.5,1667.0,436.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1791.0,1619.0,431.0,Sumner,Washington,WA,47.2033333,-122.2391667,USW00024233
2013,Giant Pumpkin,1784.0,1745.0,445.0,Parker,Colorado,CO,39.5186111,-104.7608333,USC00058022
2013,Giant Pumpkin,1783.5,1649.0,434.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
2013,Giant Pumpkin,1779.5,1545.0,422.0,Richville,Minnesota,MN,46.5066667,-95.6252778,USC00214861
2013,Giant Pumpkin,1766.5,1571.0,425.0,Rocky Hill,Connecticut,CT,41.6647222,-72.63972220000002,USW00014740
2013,Giant Pumpkin,1746.5,1519.0,419.0,Topsfield,Massachusetts,MA,42.6375,-70.95,USC00193276
2013,Giant Pumpkin,1744.5,1610.0,430.0,Halifax,Pennsylvania,PA,40.46805560000001,-76.93222220000001,USW00014711
2013,Giant Pumpkin,1734.5,1588.0,427.0,Richmond,Minnesota,MN,45.4541667,-94.5180556,USW00014926
2013,Giant Pumpkin,1683.0,1567.0,425.0,Halifax,Pennsylvania,PA,40.46805560000001,-76.93222220000001,USW00014711
2013,Giant Pumpkin,1666.0,1723.0,443.0,Sumner,Washington,WA,47.2033333,-122.2391667,USW00024233
2013,Giant Pumpkin,1661.5,1424.0,408.0,Saegertown,Pennsylvania,PA,41.7188889,-80.1477778,USC00368361
2013,Giant Pumpkin,1659.0,1506.0,418.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1655.5,1536.0,421.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1625.5,1432.0,409.0,Menomonee Falls,Wisconsin,WI,43.1788889,-88.1172222,USC00473058
2013,Giant Pumpkin,1599.0,1532.0,421.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1592.0,1627.0,432.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1578.0,1445.0,411.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1576.5,1541.0,422.0,Chehalis,Washington,WA,46.6622222,-122.9627778,USC00451276
2013,Giant Pumpkin,1570.0,1287.0,392.0,Grand Rapids,Michigan,MI,42.9633333,-85.6680556,USW00094860
2013,Giant Pumpkin,1564.0,1502.0,417.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1552.0,1476.0,414.0,Windsor,New York,NY,42.0758333,-75.6408333,USW00004725
2013,Giant Pumpkin,1548.5,1389.0,404.0,Northville,New York,NY,43.22555560000001,-74.1725,USC00304102
2013,Giant Pumpkin,1546.0,1480.0,415.0,Joliet,Illinois,IL,41.525,-88.0816667,USW00094846
2013,Giant Pumpkin,1546.0,1614.0,430.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
2013,Giant Pumpkin,1544.0,1441.0,410.0,Gloucester,Massachusetts,MA,42.6158333,-70.6625,USC00193276
2013,Giant Pumpkin,1534.5,1484.0,415.0,Parker,Colorado,CO,39.5186111,-104.7608333,USC00058022
2013,Giant Pumpkin,1532.0,1428.0,409.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1530.5,1342.0,399.0,Pittsford,Vermont,VT,43.7066667,-73.02861109999998,USW00014742
2013,Giant Pumpkin,1530.0,1432.0,409.0,Elk Mound,Wisconsin,WI,44.8730556,-91.6908333,USW00014991
2013,Giant Pumpkin,1526.0,1519.0,419.0,Seymour,Wisconsin,WI,44.515,-88.33027779999998,USW00014898
2013,Giant Pumpkin,1521.0,1515.0,419.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1514.0,1701.0,440.0,Los Altos Hills,California,CA,37.3797222,-122.1363889,USW00023272
2013,Giant Pumpkin,1512.0,1432.0,409.0,Northville,New York,NY,43.22555560000001,-74.1725,USC00304102
2013,Giant Pumpkin,1507.0,1536.0,421.0,Richmond,Minnesota,MN,45.4541667,-94.5180556,USW00014926
2013,Giant Pumpkin,1503.0,1381.0,403.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1496.0,1275.0,391.0,Enon Valley,Pennsylvania,PA,40.8547222,-80.4572222,USW00094823
2013,Giant Pumpkin,1491.5,1424.0,408.0,Saegertown,Pennsylvania,PA,41.7188889,-80.1477778,USC00368361
2013,Giant Pumpkin,1488.5,1538.0,421.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1486.5,1502.0,417.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1481.0,1407.0,406.0,Bessemer,Pennsylvania,PA,40.9747222,-80.4938889,USC00364325
2013,Giant Pumpkin,1480.0,1484.0,415.0,Little Valley,New York,NY,42.2525,-78.8058333,USC00301625
2013,Giant Pumpkin,1478.0,1584.0,427.0,Wheat Ridge,Colorado,CO,39.7661111,-105.07666670000002,USC00058995
2013,Giant Pumpkin,1477.0,1510.0,418.0,Clarence Center,New York,NY,43.0105556,-78.6377778,USW00014733
2013,Giant Pumpkin,1476.5,1432.0,409.0,Kaukauna,Wisconsin,WI,44.2780556,-88.2719444,USC00470265
2013,Giant Pumpkin,1476.0,1493.0,416.0,Barnesville,Ohio,OH,39.9880556,-81.1766667,USW00093824
2013,Giant Pumpkin,1463.5,1463.0,413.0,Chehalis,Washington,WA,46.6622222,-122.9627778,USC00451276
2013,Giant Pumpkin,1461.5,1270.0,390.0,Little Valley,New York,NY,42.2525,-78.8058333,USC00301625
2013,Giant Pumpkin,1455.5,1450.0,411.0,Windsor,California,CA,38.5472222,-122.8152778,USC00043578
2013,Giant Pumpkin,1451.5,1338.0,398.0,Boscawen,New Hampshire,NH,43.315,-71.62138890000001,USC00274234
2013,Giant Pumpkin,1449.0,1484.0,415.0,Cecil,Ohio,OH,41.2186111,-84.6022222,USC00336405
2013,Giant Pumpkin,1446.0,1321.0,396.0,Richmond,Minnesota,MN,45.4541667,-94.5180556,USW00014926
2013,Giant Pumpkin,1443.0,1545.0,422.0,Sumner,Washington,WA,47.2033333,-122.2391667,USW00024233
2013,Giant Pumpkin,1442.5,1203.0,382.0,Ipswich,Massachusetts,MA,42.6791667,-70.8416667,USC00193276
2013,Giant Pumpkin,1435.0,1162.0,377.0,Salineville,Ohio,OH,40.6225,-80.8380556,USW00014852
2013,Giant Pumpkin,1429.0,1291.0,393.0,Northern Cambria,Pennsylvania,PA,40.6591667,-78.7819444,USC00362470
2013,Giant Pumpkin,1427.0,1368.0,402.0,Grand Rapids,Michigan,MI,42.9633333,-85.6680556,USW00094860
2013,Giant Pumpkin,1426.5,1338.0,398.0,Portsmouth,Rhode Island,RI,41.6022222,-71.2508333,USW00014765
2013,Giant Pumpkin,1419.0,1245.0,387.0,Gettysburg,Pennsylvania,PA,39.8308333,-77.23138890000001,USC00360656
2013,Giant Pumpkin,1415.5,1262.0,389.0,Albany,Oregon,OR,44.6366667,-123.1047222,USW00024232
2013,Giant Pumpkin,1412.5,1270.0,390.0,Columbiana,Ohio,OH,40.8883333,-80.6941667,USW00014852
